beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
distinctly	She looked distinctly ruffled.“How did you know it was me?” she asked.“My dear Professor, I’ve never seen a cat sit so stiffly.”“You’d be stiff if you’d been sitting on a brick wall all day,” said Professor McGonagall.“All day?	"{""dis'tiŋktli"", 'distinctly', 'r. clear to the mind; with distinct mental discernment\nr. in a distinct and distinguishable manner\nr. to a distinct degree', 'adv. 显然地, 明显地, 清楚地'}"
ruffled	She looked distinctly ruffled.“How did you know it was me?” she asked.“My dear Professor, I’ve never seen a cat sit so stiffly.”“You’d be stiff if you’d been sitting on a brick wall all day,” said Professor McGonagall.“All day?	"{'v stir up (water) so as to form ripples\nv trouble or vex\nv to walk with a lofty proud gait, often in an attempt to impress others\nv discompose\nv twitch or flutter\nv mix so as to make a random order or arrangement\nv erect or fluff up\nv disturb the smoothness of\nv pleat or gather into a ruffle\ns shaken into waves or undulations as by wind\ns having decorative ruffles or frills', 'a. 有褶饰边的；气恼的', 'ruffled', ""'rʌfld""}"
stiff	Instead he said, as casually as he could, “Their son — he’d be about Dudley’s age now, wouldn’t he?”“I suppose so,” said Mrs. Dursley stiffly.“What’s his name again?	{'stif', 'n. an ordinary man\ns. not moving or operating freely\ns. powerful\nr. extremely', 'stiff', 'a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的\nn. 死尸, 醉鬼, 钞票\nvt. 不肯付...小费'}
impatiently	I must have passed a dozen feasts and parties on my way here.”Professor McGonagall sniffed angrily.“Oh yes, I’ve celebrating, all right,” she said impatiently.	{'', 'r. with impatience; in an impatient manner', 'impatiently', 'adv. 不耐烦, 忍受不了, 急躁, [表]急欲, 急切'}
irritable	[]	"{'irritable', 's. abnormally sensitive to a stimulus', ""'iritәbl"", 'a. 易怒的, 急躁的\n[医] 应激性的, 过敏的'}"
downright	People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.”She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn’t, so she went on.	"{""'daunrait"", 'downright', 's. characterized by plain blunt honesty\nr. thoroughgoing', 'a. 明白的, 率直的, 十足的\nadv. 全然, 彻底, 完全'}"
careless	People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.”She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn’t, so she went on.	"{""'kєәlis"", 'a. 粗心的, 不关心的, 无忧无虑的', 'careless', ""a. marked by lack of attention or consideration or forethought or thoroughness; not careful\ns. effortless and unstudied\ns. (usually followed by `of') without due thought or consideration""}"
swapping	People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.”She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn’t, so she went on.	"{'v exchange or give (something) in exchange for\nv move (a piece of a program) into memory, in computer science', 'swapping', ""'swæpiŋ"", '[计] 交换, 调动, 转储'}"
threw	People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.”She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn’t, so she went on.	"{'throw的过去式', 'threw', 'θru:', ""v propel through the air\nv move violently, energetically, or carelessly\nv get rid of\nv place or put with great energy\nv convey or communicate; of a smile, a look, a physical gesture\nv cause to go on or to be engaged or set in operation\nv put or send forth\nv to put into a state or activity hastily, suddenly, or carelessly\nv cause to be confused emotionally\nv utter with force; utter vehemently\nv organize or be responsible for\nv make on a potter's wheel\nv cause to fall off\nv throw (a die) out onto a flat surface\nv be confusing or perplexing to; cause to be unable to think clearly""}"
sideways	People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.”She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn’t, so she went on.	"{'adv. 向旁边, 向侧面地\na. 旁边的, 向侧面的', ""'saidweiz"", 'sideways', 'r. with one side forward or to the front\nr. toward one side'}"
thankful	“We have much to be thankful for.	"{'a feeling or showing gratitude', 'a. 感谢的, 感激的, 欣慰的', ""'θæŋkfәl"", 'thankful'}"
coldly	They’re a kind of Muggle sweet I’m rather fond of.”“No, thank you,” said Professor McGonagall coldly, as though she didn’t think this was the moment for lemon drops.	"{'adv. 冷淡地', 'coldly', 'r. in a cold unemotional manner', ""'kәuldli""}"
sensible	“As I say, even if YouKnowWho has gone —”“My dear Professor, surely a sensible person like yourself can call him by his name?	"{'a. 有感觉的, 敏感的, 明智的\n[医] 可感觉的', 'a. able to feel or perceive\ns. readily perceived by the senses\ns. aware intuitively or intellectually of something sensed', 'sensible', ""'sensәbl""}"
nonsense	They were the last people you’d expect to be involved in anything strange or mysterious, because they just didn’t hold with such nonsense.Mr.	"{'nonsense', 'n. a message that seems to convey no meaning\ns. having no intelligible meaning', 'n. 无意义的事, 荒谬言行, 荒唐', ""'nɒnsәns""}"
persuade	All this ‘YouKnowWho’ nonsense — for eleven years I have been trying to persuade people to call him by his proper name: Voldemort.” Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice.	"{""v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"", 'vt. 劝, 使相信, 恳求, 敦促, 说服\nvi. 劝服, 被说服', ""pә'sweid"", 'persuade'}"
unsticking	All this ‘YouKnowWho’ nonsense — for eleven years I have been trying to persuade people to call him by his proper name: Voldemort.” Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice.	{'', 'unsticking', 'v. 使不再粘着, 扯开, 分开( unstick的现在分词 )'}
frightened	“It all gets so confusing if we keep saying ‘YouKnowWho.’ I have never seen any reason to be frightened of saying Voldemort’s name.”“I know you haven’t, said Professor McGonagall, sounding half exasperated, half admiring.	"{'a. 受惊吓的, 受惊的, (非正式)害怕...的', ""'frait(ә)nd"", 's. made afraid', 'frightened'}"
sounding	“It all gets so confusing if we keep saying ‘YouKnowWho.’ I have never seen any reason to be frightened of saying Voldemort’s name.”“I know you haven’t, said Professor McGonagall, sounding half exasperated, half admiring.	"{'sounding', 'n. a measure of the depth of water taken with a sounding line\nn. the act of measuring depth of water (usually with a sounding line)\ns. having volume or deepness', ""'saundiŋ"", 'a. 发出声音的, 响亮的, 夸大的, 听上去堂皇的, 夸张的\nn. 测深, 水深测量, 探空, 试探, 调查, 搜集意见'}"
exasperated	“It all gets so confusing if we keep saying ‘YouKnowWho.’ I have never seen any reason to be frightened of saying Voldemort’s name.”“I know you haven’t, said Professor McGonagall, sounding half exasperated, half admiring.	{'ɪgˈzæspəreɪtɪd', 'a. 愤怒的, 恼火的\nv. 使恼怒, 激怒, 恶化(exasperate的过去式)', 's. greatly annoyed; out of patience', 'exasperated'}
admiring	“It all gets so confusing if we keep saying ‘YouKnowWho.’ I have never seen any reason to be frightened of saying Voldemort’s name.”“I know you haven’t, said Professor McGonagall, sounding half exasperated, half admiring.	"{'a. 赞赏的, 钦佩的, 羡慕的', ""әd'maiәriŋ"", 'admiring', 'v feel admiration for\nv look at with admiration'}"
flatter	Everyone knows you’re the only one YouKnowoh, all right, Voldemort, was frightened of.”“You flatter me,” said Dumbledore calmly.	"{""'flætә"", 'vt. 奉承, 阿谀, 使高兴\n[机] 平面锤', 'flatter', 'v. praise somewhat dishonestly'}"
calmly	Everyone knows you’re the only one YouKnowoh, all right, Voldemort, was frightened of.”“You flatter me,” said Dumbledore calmly.	"{'adv. 平静地, 安静地, 冷静地', 'r. with self-possession (especially in times of stress)', 'calmly', ""'kɑ:mli""}"
comfrey	[]	"{'n. 聚合草\n[医] 西门肺草', ""'kʌmfri"", 'n. perennial herbs of Europe and Iran; make rapidly growing groundcover for shaded areas\nn. leaves make a popular tisane; young leaves used in salads or cooked', 'comfrey'}"
anxious	About what finally stopped him?”It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now.	"{'anxious', 'a. 忧虑的, 发愁的, 渴望的', ""'æŋʃәs"", 's. eagerly desirous\ns. causing or fraught with or showing anxiety'}"
discus	About what finally stopped him?”It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now.	"{""'diskәs"", 'n. 铁饼, 掷铁饼比赛\n[医] 盘, 板, [圆]片', 'discus', 'n. an athletic competition in which a disk-shaped object is thrown as far as possible\nn. a disk used in throwing competitions'}"
piercing	About what finally stopped him?”It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now.	"{""v cut or make a way through\nv move or affect (a person's emotions or bodily feelings) deeply or sharply\nv sound sharply or shrilly\nv penetrate or cut through with a sharp instrument\nv make a hole into\ns having or demonstrating ability to recognize or draw fine distinctions\ns painful as if caused by a sharp instrument"", 'a. 尖厉的, 刺耳的, 刺骨的, 刺穿的, 敏锐的, 彻骨的, 辛辣的, 讽刺的\n[化] 冲孔', ""'piәsiŋ"", 'piercing'}"
rumor	People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.”She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn’t, so she went on.	"{'n. 谣言, 传闻\nvt. 谣传', 'n. gossip (usually a mixture of truth and untruth) passed around by word of mouth\nv. tell or spread rumors', ""'ru:mә"", 'rumor'}"
bowed	The rumor is that Lily and James Potter are — are — that they’re — dead.”Dumbledore bowed his head.	{'a. of a stringed instrument; sounded by stroking with a bow\ns. showing an excessively deferential manner', 'a. 弯如弓的, 低垂的', 'bowed', 'bәud'}
albus	[]	"{'', '铅白(颜料)', 'albus', ""'ælbәs""}"
handkerchief	“We may never know.”Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles.	"{'n. 手帕, 头巾, 围巾', 'n. a square piece of cloth used for wiping the eyes or nose or as a costume accessory', ""'hæŋkәtʃif"", 'handkerchief'}"
sniff	I must have passed a dozen feasts and parties on my way here.”Professor McGonagall sniffed angrily.“Oh yes, I’ve celebrating, all right,” she said impatiently.	{'n. 以鼻吸气, 嗅, 气息\nvi. 嗅, 蔑视, 嗤之以鼻\nvt. 闻, 用力吸, 发觉', 'snif', 'sniff', 'n. sensing an odor by inhaling through the nose\nv. perceive by inhaling through the nose\nv. inhale audibly through the nose'}
